student,course,activity,room,day,time
Liana Charita,Reflectie op de digitale cultuur,w1,A1.10,vr,11
Yde Christiaens,Bioinformatica,h1,C0.110,ma,9
Yde Christiaens,Bioinformatica,h2,C1.112,di,13
Yde Christiaens,Bioinformatica,h3,A1.04,wo,15
Yde Christiaens,Bioinformatica,w1,A1.04,do,13
Yde Christiaens,Bioinformatica,p1,B0.201,di,11
Yde Christiaens,Calculus 2,h1,C0.110,do,13
Yde Christiaens,Calculus 2,w1,C0.110,ma,13
Yde Christiaens,Databases 2,h1,C0.110,ma,15
Yde Christiaens,Databases 2,w1,A1.10,di,15
Yde Christiaens,Kansrekenen 2,h1,A1.08,do,11
Yde Christiaens,Kansrekenen 2,h2,A1.04,vr,15
Yde Christiaens,Programmeren in Java 2,p1,A1.10,do,15
Hailey Claassen,Analysemethoden en -technieken,h1,A1.10,wo,15
Hailey Claassen,Reflectie op de digitale cultuur,h1,A1.08,di,13
Hailey Claassen,Reflectie op de digitale cultuur,h2,C0.110,di,11
Hailey Claassen,Reflectie op de digitale cultuur,w1,A1.04,vr,9
Hailey Claassen,Software engineering,h1,A1.04,ma,13
Hailey Claassen,Software engineering,w1,B0.201,vr,13
Hailey Claassen,Software engineering,p1,B0.201,vr,11
Seyit Cleven,Heuristieken 2,h1,A1.04,wo,11
Seyit Cleven,Heuristieken 2,w1,B0.201,do,9
Jorike Coenen,Compilerbouw,h1,A1.06,wo,13
Jorike Coenen,Compilerbouw,h2,A1.08,wo,11
Jorike Coenen,Compilerbouw,w1,A1.06,di,15
Jorike Coenen,Compilerbouw,p1,C0.110,ma,17
Jorike Coenen,Netwerken en systeembeveiliging,p1,C0.110,vr,13
Jorike Coenen,Project Numerical Recipes,p1,C0.110,do,15
Laurentia Cooijmans,Calculus 2,h1,C0.110,do,13
Laurentia Cooijmans,Calculus 2,w1,C0.110,ma,13
Laurentia Cooijmans,Collectieve Intelligentie,h1,B0.201,do,13
Laurentia Cooijmans,Collectieve Intelligentie,h2,C1.112,do,15
Laurentia Cooijmans,Collectieve Intelligentie,h3,C0.110,vr,11
Laurentia Cooijmans,Collectieve Intelligentie,w1,A1.06,ma,15
Laurentia Cooijmans,Collectieve Intelligentie,p1,C1.112,di,11
Laurentia Cooijmans,Heuristieken 2,h1,A1.04,wo,11
Laurentia Cooijmans,Heuristieken 2,w1,C1.112,ma,9
Mitzi Corten,Compilerbouw,h1,A1.06,wo,13
Mitzi Corten,Compilerbouw,h2,A1.08,wo,11
Mitzi Corten,Compilerbouw,w1,B0.201,di,13
Mitzi Corten,Compilerbouw,p1,C0.110,ma,17
Jildou Corvers,Webprogrammeren en databases,h1,C0.110,di,13
Jildou Corvers,Webprogrammeren en databases,h2,C1.112,vr,11
Jildou Corvers,Webprogrammeren en databases,w1,B0.201,ma,11
Jildou Corvers,Webprogrammeren en databases,p1,A1.10,do,9
Abdelouahid Cramer,Netwerken en systeembeveiliging,p1,A1.04,ma,15
Hananja Cramer,Programmeren in Java 2,p1,A1.10,do,15
Hananja Cramer,Software engineering,h1,A1.04,ma,13
Hananja Cramer,Software engineering,w1,A1.10,vr,15
Hananja Cramer,Software engineering,p1,B0.201,vr,11
Jonas Crombach,Kansrekenen 2,h1,A1.08,do,11
Jonas Crombach,Kansrekenen 2,h2,A1.04,vr,15
Goven Curfs,Reflectie op de digitale cultuur,h1,A1.08,di,13
Goven Curfs,Reflectie op de digitale cultuur,h2,C0.110,di,11
Goven Curfs,Reflectie op de digitale cultuur,w1,A1.10,vr,11
Everhard Curvers,Informatie- en organisatieontwerp,h2,A1.06,do,13
Everhard Curvers,Informatie- en organisatieontwerp,w1,C0.110,di,15
Everhard Curvers,Informatie- en organisatieontwerp,p1,B0.201,ma,13
Everhard Curvers,Informatie- en organisatieontwerp,h1,A1.10,di,13
Amelie Daams,Heuristieken 2,h1,A1.04,wo,11
Amelie Daams,Heuristieken 2,w1,C1.112,ma,9
Amelie Daams,Programmeren in Java 2,p1,A1.08,ma,15
Gradus Dams,Compilerbouw,h1,A1.06,wo,13
Gradus Dams,Compilerbouw,h2,A1.08,wo,11
Gradus Dams,Compilerbouw,w1,B0.201,di,13
Gradus Dams,Compilerbouw,p1,A1.06,vr,13
Gradus Dams,Project Genetic Algorithms,p1,A1.06,do,15
Goos Dane,Compilerbouw practicum,p1,C1.112,vr,9
Goos Dane,Project Genetic Algorithms,p1,C1.112,ma,11
Goos Dane,Zoeken sturen en bewegen,p1,C1.112,ma,13
Manuel de Boon,Algoritmen en complexiteit,h1,A1.10,vr,9
Manuel de Boon,Algoritmen en complexiteit,w1,C1.112,do,9
Manuel de Boon,Algoritmen en complexiteit,p1,A1.06,wo,9
Manuel de Boon,Calculus 2,h1,C0.110,do,13
Manuel de Boon,Calculus 2,w1,C0.110,ma,13
Manuel de Boon,Machine Learning,h1,A1.08,di,11
Manuel de Boon,Machine Learning,h2,C1.112,do,11
Manuel de Boon,Programmeren in Java 2,p1,B0.201,ma,9
Manuel de Boon,Project Genetic Algorithms,p1,A1.06,do,15
Albertien de Hoogh,Software engineering,h1,A1.04,ma,13
Albertien de Hoogh,Software engineering,w1,B0.201,vr,13
Albertien de Hoogh,Software engineering,p1,A1.04,do,11
Albertien de Hoogh,Technology for games,h1,A1.06,ma,9
Albertien de Hoogh,Technology for games,h2,A1.04,di,11
Albertien de Hoogh,Technology for games,w1,A1.10,wo,13
Kathryn de Jongste,Interactie-ontwerp,h1,A1.04,di,13
Kathryn de Jongste,Interactie-ontwerp,h2,A1.10,ma,11
Kathryn de Jongste,Project Numerical Recipes,p1,C0.110,do,15
Anes de Kanter,Moderne Databases,h1,A1.10,vr,13
Anes de Kanter,Moderne Databases,w1,B0.201,ma,15
Anes de Kanter,Moderne Databases,p1,A1.10,do,11
Krijna de Kreij,Zoeken sturen en bewegen,p1,C1.112,wo,11
Farhad de Kuijer,Netwerken en systeembeveiliging,p1,B0.201,wo,11
Farhad de Kuijer,Project Numerical Recipes,p1,B0.201,wo,9
Janniek de Leest,Algoritmen en complexiteit,h1,A1.10,vr,9
Janniek de Leest,Algoritmen en complexiteit,w1,C1.112,do,9
Janniek de Leest,Algoritmen en complexiteit,p1,A1.06,wo,9
Janniek de Leest,Programmeren in Java 2,p1,A1.08,ma,15
Wieke de Leest,Lineaire Algebra,h2,C1.112,di,9
Wieke de Leest,Lineaire Algebra,h1,B0.201,do,15
Yana de Looff,Software engineering,h1,A1.04,ma,13
Yana de Looff,Software engineering,w1,B0.201,vr,13
Yana de Looff,Software engineering,p1,B0.201,vr,11
Alexandre de Olde,Lineaire Algebra,h2,C1.112,di,9
Alexandre de Olde,Lineaire Algebra,h1,B0.201,do,15
Merel de Olde,Calculus 2,h1,C0.110,do,13
Merel de Olde,Calculus 2,w1,C1.112,wo,13
Merel de Olde,Programmeren in Java 2,p1,A1.10,ma,9
Ziggy de Smit,Heuristieken 2,h1,A1.04,wo,11
Ziggy de Smit,Heuristieken 2,w1,B0.201,do,9
Mayla de Snoo,Compilerbouw practicum,p1,C1.112,vr,15
Mayla de Snoo,Project Genetic Algorithms,p1,C1.112,ma,11
Marije de Vreeze,Collectieve Intelligentie,h1,B0.201,do,13
Marije de Vreeze,Collectieve Intelligentie,h2,C1.112,do,15
Marije de Vreeze,Collectieve Intelligentie,h3,C0.110,vr,11
Marije de Vreeze,Collectieve Intelligentie,w1,A1.06,di,9
Marije de Vreeze,Collectieve Intelligentie,p1,C1.112,di,11
Marije de Vreeze,Programmeren in Java 2,p1,A1.08,ma,15
Linne de Zoete,Kansrekenen 2,h1,A1.08,do,11
Linne de Zoete,Kansrekenen 2,h2,A1.04,vr,15
Quido Deniz,Interactie-ontwerp,h1,A1.04,di,13
Quido Deniz,Interactie-ontwerp,h2,A1.10,ma,11
Quido Deniz,Lineaire Algebra,h2,C1.112,di,9
Quido Deniz,Lineaire Algebra,h1,B0.201,do,15
Quido Deniz,Programmeren in Java 2,p1,A1.08,ma,13
Brigitta Diallo,Algoritmen en complexiteit,h1,A1.10,vr,9
Brigitta Diallo,Algoritmen en complexiteit,w1,C0.110,wo,11
Brigitta Diallo,Algoritmen en complexiteit,p1,A1.08,do,13
Brigitta Diallo,Collectieve Intelligentie,h1,B0.201,do,13
Brigitta Diallo,Collectieve Intelligentie,h2,C1.112,do,15
Brigitta Diallo,Collectieve Intelligentie,h3,C0.110,vr,11
Brigitta Diallo,Collectieve Intelligentie,w1,C0.110,vr,9
Brigitta Diallo,Collectieve Intelligentie,p1,C1.112,di,11
Brigitta Diallo,Compilerbouw practicum,p1,A1.04,wo,13
Brigitta Diallo,Data Mining,p1,C1.112,wo,9
Brigitta Diallo,Data Mining,h1,C0.110,ma,11
Brigitta Diallo,Data Mining,h2,C0.110,do,9
Brigitta Diallo,Data Mining,w1,A1.08,vr,13
Brigitta Diallo,Software engineering,h1,A1.04,ma,13
Brigitta Diallo,Software engineering,w1,A1.10,vr,15
Brigitta Diallo,Software engineering,p1,A1.04,do,11
Boy Dibbets,Databases 2,h1,C0.110,ma,15
Boy Dibbets,Databases 2,w1,A1.10,di,15
Boy Dibbets,Heuristieken 2,h1,A1.04,wo,11
Boy Dibbets,Heuristieken 2,w1,B0.201,do,9
Boy Dibbets,Lineaire Algebra,h2,C1.112,di,9
Boy Dibbets,Lineaire Algebra,h1,B0.201,do,15
Boy Dibbets,Programmeren in Java 2,p1,A1.08,ma,15
Marjory Dielen,Calculus 2,h1,C0.110,do,13
Marjory Dielen,Calculus 2,w1,C0.110,vr,15
Pietro Dieperink,Technology for games,h1,A1.06,ma,9
Pietro Dieperink,Technology for games,h2,A1.04,di,11
Pietro Dieperink,Technology for games,w1,A1.08,ma,11
Andre Dieters,Algoritmen en complexiteit,h1,A1.10,vr,9
Andre Dieters,Algoritmen en complexiteit,w1,C1.112,do,9
Andre Dieters,Algoritmen en complexiteit,p1,A1.06,wo,9
Andre Dieters,Databases 2,h1,C0.110,ma,15
Andre Dieters,Databases 2,w1,A1.10,di,11
Andre Dieters,Heuristieken 1,h1,B0.201,wo,15
Andre Dieters,Heuristieken 1,w1,A1.06,ma,11
Andre Dieters,Netwerken en systeembeveiliging,p1,B0.201,wo,11
Kelly Doedens,Calculus 2,h1,C0.110,do,13
Kelly Doedens,Calculus 2,w1,C0.110,ma,13
Kelly Doedens,Databases 2,h1,C0.110,ma,15
Kelly Doedens,Databases 2,w1,A1.10,di,11
Winfried Doeve,Project Numerical Recipes,p1,B0.201,wo,9
Oumaima Donselaar,Informatie- en organisatieontwerp,h2,A1.06,do,13
Oumaima Donselaar,Informatie- en organisatieontwerp,w1,A1.06,wo,11
Oumaima Donselaar,Informatie- en organisatieontwerp,p1,A1.08,vr,11
Oumaima Donselaar,Informatie- en organisatieontwerp,h1,A1.10,di,13
Maruschka Doppenberg,Netwerken en systeembeveiliging,p1,A1.04,ma,15
Siri Droge,Project Numerical Recipes,p1,C0.110,do,15
Sola Droog,Advanced Heuristics,h1,C0.110,do,11
Sola Droog,Advanced Heuristics,p1,C0.110,di,17
Sola Droog,Bioinformatica,h1,C0.110,ma,9
Sola Droog,Bioinformatica,h2,C1.112,di,13
Sola Droog,Bioinformatica,h3,A1.04,wo,15
Sola Droog,Bioinformatica,w1,C0.110,di,9
Sola Droog,Bioinformatica,p1,C0.110,vr,17
Sola Droog,Databases 2,h1,C0.110,ma,15
Sola Droog,Databases 2,w1,A1.10,di,11
Ko Droste,Algoritmen en complexiteit,h1,A1.10,vr,9
Ko Droste,Algoritmen en complexiteit,w1,C1.112,do,9
Ko Droste,Algoritmen en complexiteit,p1,A1.08,do,13
Ko Droste,Calculus 2,h1,C0.110,do,13
Ko Droste,Calculus 2,w1,C0.110,vr,15
Ko Droste,Software engineering,h1,A1.04,ma,13
Ko Droste,Software engineering,w1,B0.201,vr,13
Ko Droste,Software engineering,p1,A1.04,do,11
Doede Duiveman,Compilerbouw,h1,A1.06,wo,13
Doede Duiveman,Compilerbouw,h2,A1.08,wo,11
Doede Duiveman,Compilerbouw,w1,B0.201,di,13
Doede Duiveman,Compilerbouw,p1,A1.06,vr,13
Doede Duiveman,Informatie- en organisatieontwerp,h2,A1.06,do,13
Doede Duiveman,Informatie- en organisatieontwerp,w1,C0.110,di,15
Doede Duiveman,Informatie- en organisatieontwerp,p1,B0.201,ma,13
Doede Duiveman,Informatie- en organisatieontwerp,h1,A1.10,di,13
Doede Duiveman,Moderne Databases,h1,A1.10,vr,13
Doede Duiveman,Moderne Databases,w1,A1.08,di,15
Doede Duiveman,Moderne Databases,p1,A1.10,do,11
Doede Duiveman,Technology for games,h1,A1.06,ma,9
Doede Duiveman,Technology for games,h2,A1.04,di,11
Doede Duiveman,Technology for games,w1,A1.08,ma,11
Doede Duiveman,Zoeken sturen en bewegen,p1,C1.112,wo,11
Rintje Dumoulin,Analysemethoden en -technieken,h1,A1.10,wo,15
Brecht Eeltink,Compilerbouw,h1,A1.06,wo,13
Brecht Eeltink,Compilerbouw,h2,A1.08,wo,11
Brecht Eeltink,Compilerbouw,w1,A1.06,di,15
Brecht Eeltink,Compilerbouw,p1,A1.06,vr,13
Brecht Eeltink,Software engineering,h1,A1.04,ma,13
Brecht Eeltink,Software engineering,w1,A1.10,vr,15
Brecht Eeltink,Software engineering,p1,A1.04,do,11
Wissal Eggens,Databases 2,h1,C0.110,ma,15
Wissal Eggens,Databases 2,w1,A1.10,di,15
Wissal Eggens,Zoeken sturen en bewegen,p1,C1.112,wo,11
Catharinus Eggermont,Software engineering,h1,A1.04,ma,13
Catharinus Eggermont,Software engineering,w1,A1.10,vr,15
Catharinus Eggermont,Software engineering,p1,A1.04,do,11
Mattie Eisinga,Heuristieken 1,h1,B0.201,wo,15
Mattie Eisinga,Heuristieken 1,w1,A1.06,ma,11
Mattie Eisinga,Kansrekenen 2,h1,A1.08,do,11
Mattie Eisinga,Kansrekenen 2,h2,A1.04,vr,15
Mattie Eisinga,Netwerken en systeembeveiliging,p1,A1.04,ma,15
Ludovicus Eissens,Bioinformatica,h1,C0.110,ma,9
Ludovicus Eissens,Bioinformatica,h2,C1.112,di,13
Ludovicus Eissens,Bioinformatica,h3,A1.04,wo,15
Ludovicus Eissens,Bioinformatica,w1,A1.04,do,13
Ludovicus Eissens,Bioinformatica,p1,C0.110,vr,17
Ludovicus Eissens,Kansrekenen 2,h1,A1.08,do,11
Ludovicus Eissens,Kansrekenen 2,h2,A1.04,vr,15
Ludovicus Eissens,Software engineering,h1,A1.04,ma,13
Ludovicus Eissens,Software engineering,w1,B0.201,vr,13
Ludovicus Eissens,Software engineering,p1,A1.04,do,11
Pearl Elberse,Databases 2,h1,C0.110,ma,15
Pearl Elberse,Databases 2,w1,A1.10,di,15
Raven Elissen,Bioinformatica,h1,C0.110,ma,9
Raven Elissen,Bioinformatica,h2,C1.112,di,13
Raven Elissen,Bioinformatica,h3,A1.04,wo,15
Raven Elissen,Bioinformatica,w1,A1.04,ma,9
Raven Elissen,Bioinformatica,p1,B0.201,wo,13
Raven Elissen,Netwerken en systeembeveiliging,p1,A1.04,vr,13
Bauke Elschot,Compilerbouw,h1,A1.06,wo,13
Bauke Elschot,Compilerbouw,h2,A1.08,wo,11
Bauke Elschot,Compilerbouw,w1,A1.06,di,15
Bauke Elschot,Compilerbouw,p1,C0.110,ma,17
Geerten Elschot,Kansrekenen 2,h1,A1.08,do,11
Geerten Elschot,Kansrekenen 2,h2,A1.04,vr,15
Geerten Elschot,Software engineering,h1,A1.04,ma,13
Geerten Elschot,Software engineering,w1,A1.10,vr,15
Geerten Elschot,Software engineering,p1,B0.201,vr,11
Dinah Ensink,Kansrekenen 2,h1,A1.08,do,11
Dinah Ensink,Kansrekenen 2,h2,A1.04,vr,15
Dinah Ensink,Programmeren in Java 2,p1,B0.201,ma,9
Hande Essink,Moderne Databases,h1,A1.10,vr,13
Hande Essink,Moderne Databases,w1,C0.110,wo,9
Hande Essink,Moderne Databases,p1,A1.10,do,11
Jaro Essink,Compilerbouw,h1,A1.06,wo,13
Jaro Essink,Compilerbouw,h2,A1.08,wo,11
Jaro Essink,Compilerbouw,w1,B0.201,di,13
Jaro Essink,Compilerbouw,p1,A1.06,vr,13
Jaro Essink,Netwerken en systeembeveiliging,p1,C0.110,vr,13
Jaro Essink,Programmeren in Java 2,p1,A1.08,ma,15
Herwin Ester,Autonomous Agents 2,h1,B0.201,do,11
Herwin Ester,Autonomous Agents 2,h2,A1.04,di,9
Herwin Ester,Autonomous Agents 2,w1,A1.08,wo,9
Herwin Ester,Autonomous Agents 2,p1,C1.112,do,13
Herwin Ester,Bioinformatica,h1,C0.110,ma,9
Herwin Ester,Bioinformatica,h2,C1.112,di,13
Herwin Ester,Bioinformatica,h3,A1.04,wo,15
Herwin Ester,Bioinformatica,w1,C0.110,di,9
Herwin Ester,Bioinformatica,p1,B0.201,di,11
Herwin Ester,Data Mining,p1,A1.10,ma,13
Herwin Ester,Data Mining,h1,C0.110,ma,11
Herwin Ester,Data Mining,h2,C0.110,do,9
Herwin Ester,Data Mining,w1,A1.06,do,11
Jurrian Fekkes,Algoritmen en complexiteit,h1,A1.10,vr,9
Jurrian Fekkes,Algoritmen en complexiteit,w1,C0.110,wo,11
Jurrian Fekkes,Algoritmen en complexiteit,p1,A1.06,wo,9
Jurrian Fekkes,Autonomous Agents 2,h1,B0.201,do,11
Jurrian Fekkes,Autonomous Agents 2,h2,A1.04,di,9
Jurrian Fekkes,Autonomous Agents 2,w1,C1.112,wo,15
Jurrian Fekkes,Autonomous Agents 2,p1,A1.10,wo,11
Jurrian Fekkes,Calculus 2,h1,C0.110,do,13
Jurrian Fekkes,Calculus 2,w1,C1.112,wo,13
Jurrian Fekkes,Zoeken sturen en bewegen,p1,B0.201,di,15
Nurcan Fennis,Moderne Databases,h1,A1.10,vr,13
Nurcan Fennis,Moderne Databases,w1,B0.201,ma,15
Nurcan Fennis,Moderne Databases,p1,C1.112,di,15
Antonius Fleming,Compilerbouw,h1,A1.06,wo,13
Antonius Fleming,Compilerbouw,h2,A1.08,wo,11
Antonius Fleming,Compilerbouw,w1,A1.06,di,15
Antonius Fleming,Compilerbouw,p1,C0.110,ma,17
Belle Florijn,Heuristieken 1,h1,B0.201,wo,15
Belle Florijn,Heuristieken 1,w1,A1.08,vr,15
Belle Florijn,Project Numerical Recipes,p1,B0.201,wo,9
Diemer Fokkens,Analysemethoden en -technieken,h1,A1.10,wo,15
Diemer Fokkens,Bioinformatica,h1,C0.110,ma,9
Diemer Fokkens,Bioinformatica,h2,C1.112,di,13
Diemer Fokkens,Bioinformatica,h3,A1.04,wo,15
Diemer Fokkens,Bioinformatica,w1,C0.110,di,9
Diemer Fokkens,Bioinformatica,p1,B0.201,di,11
Diemer Fokkens,Calculus 2,h1,C0.110,do,13
Diemer Fokkens,Calculus 2,w1,C0.110,vr,15
Diemer Fokkens,Moderne Databases,h1,A1.10,vr,13
Diemer Fokkens,Moderne Databases,w1,A1.08,di,15
Diemer Fokkens,Moderne Databases,p1,A1.10,do,11
Diemer Fokkens,Technology for games,h1,A1.06,ma,9
Diemer Fokkens,Technology for games,h2,A1.04,di,11
Diemer Fokkens,Technology for games,w1,A1.08,ma,11
Ynze Freriks,Software engineering,h1,A1.04,ma,13
Ynze Freriks,Software engineering,w1,A1.10,vr,15
Ynze Freriks,Software engineering,p1,A1.04,do,11
Nordin Geboers,Data Mining,p1,C1.112,wo,9
Nordin Geboers,Data Mining,h1,C0.110,ma,11
Nordin Geboers,Data Mining,h2,C0.110,do,9
Nordin Geboers,Data Mining,w1,A1.08,vr,13
Nordin Geboers,Programmeren in Java 2,p1,A1.08,ma,15
Bahattin Geelen,Technology for games,h1,A1.06,ma,9
Bahattin Geelen,Technology for games,h2,A1.04,di,11
Bahattin Geelen,Technology for games,w1,A1.08,ma,11
Sohrab Geers,Collectieve Intelligentie,h1,B0.201,do,13
Sohrab Geers,Collectieve Intelligentie,h2,C1.112,do,15
Sohrab Geers,Collectieve Intelligentie,h3,C0.110,vr,11
Sohrab Geers,Collectieve Intelligentie,w1,A1.06,ma,15
Sohrab Geers,Collectieve Intelligentie,p1,C1.112,di,11
Sohrab Geers,Lineaire Algebra,h2,C1.112,di,9
Sohrab Geers,Lineaire Algebra,h1,B0.201,do,15
Sohrab Geers,Zoeken sturen en bewegen,p1,C1.112,wo,11
Patric Geluk,Webprogrammeren en databases,h1,C0.110,di,13
Patric Geluk,Webprogrammeren en databases,h2,C1.112,vr,11
Patric Geluk,Webprogrammeren en databases,w1,C0.110,wo,15
Patric Geluk,Webprogrammeren en databases,p1,A1.10,do,9
Eddy Gerritse,Analysemethoden en -technieken,h1,A1.10,wo,15
Deacon Gielissen,Autonomous Agents 2,h1,B0.201,do,11
Deacon Gielissen,Autonomous Agents 2,h2,A1.04,di,9
Deacon Gielissen,Autonomous Agents 2,w1,C1.112,wo,15
Deacon Gielissen,Autonomous Agents 2,p1,A1.04,ma,11
Deacon Gielissen,Compilerbouw,h1,A1.06,wo,13
Deacon Gielissen,Compilerbouw,h2,A1.08,wo,11
Deacon Gielissen,Compilerbouw,w1,A1.06,di,15
Deacon Gielissen,Compilerbouw,p1,C0.110,ma,17
Deacon Gielissen,Kansrekenen 2,h1,A1.08,do,11
Deacon Gielissen,Kansrekenen 2,h2,A1.04,vr,15
Deacon Gielissen,Software engineering,h1,A1.04,ma,13
Deacon Gielissen,Software engineering,w1,B0.201,vr,13
Deacon Gielissen,Software engineering,p1,B0.201,vr,11
Richenel Giesen,Analysemethoden en -technieken,h1,A1.10,wo,15
Abdelkader Gijbels,Compilerbouw,h1,A1.06,wo,13
Abdelkader Gijbels,Compilerbouw,h2,A1.08,wo,11
Abdelkader Gijbels,Compilerbouw,w1,B0.201,di,13
Abdelkader Gijbels,Compilerbouw,p1,C0.110,ma,17
Abdelkader Gijbels,Lineaire Algebra,h2,C1.112,di,9
Abdelkader Gijbels,Lineaire Algebra,h1,B0.201,do,15
Abdelkader Gijbels,Project Numerical Recipes,p1,C0.110,do,15
Abdelkader Gijbels,Technology for games,h1,A1.06,ma,9
Abdelkader Gijbels,Technology for games,h2,A1.04,di,11
Abdelkader Gijbels,Technology for games,w1,A1.08,ma,11
Marco Gilsing,Moderne Databases,h1,A1.10,vr,13
Marco Gilsing,Moderne Databases,w1,A1.08,di,15
Marco Gilsing,Moderne Databases,p1,A1.10,do,11
Maritte Gok,Heuristieken 2,h1,A1.04,wo,11
Maritte Gok,Heuristieken 2,w1,C1.112,ma,9
Maritte Gok,Moderne Databases,h1,A1.10,vr,13
Maritte Gok,Moderne Databases,w1,B0.201,ma,15
Maritte Gok,Moderne Databases,p1,A1.04,vr,11
Maritte Gok,Software engineering,h1,A1.04,ma,13
Maritte Gok,Software engineering,w1,A1.10,vr,15
Maritte Gok,Software engineering,p1,A1.04,do,11
Maritte Gok,Webprogrammeren en databases,h1,C0.110,di,13
Maritte Gok,Webprogrammeren en databases,h2,C1.112,vr,11
Maritte Gok,Webprogrammeren en databases,w1,B0.201,ma,11
Maritte Gok,Webprogrammeren en databases,p1,A1.10,do,9
Rivelino Goor,Data Mining,p1,A1.06,vr,15
Rivelino Goor,Data Mining,h1,C0.110,ma,11
Rivelino Goor,Data Mining,h2,C0.110,do,9
Rivelino Goor,Data Mining,w1,A1.08,vr,13
Umar Grift,Autonomous Agents 2,h1,B0.201,do,11
Umar Grift,Autonomous Agents 2,h2,A1.04,di,9
Umar Grift,Autonomous Agents 2,w1,C1.112,wo,15
Umar Grift,Autonomous Agents 2,p1,A1.04,ma,11
Umar Grift,Programmeren in Java 2,p1,A1.10,ma,9
Rijkje Groote,Calculus 2,h1,C0.110,do,13
Rijkje Groote,Calculus 2,w1,C0.110,vr,15
Rijkje Groote,Interactie-ontwerp,h1,A1.04,di,13
Rijkje Groote,Interactie-ontwerp,h2,A1.10,ma,11
Rijkje Groote,Software engineering,h1,A1.04,ma,13
Rijkje Groote,Software engineering,w1,A1.10,vr,15
Rijkje Groote,Software engineering,p1,A1.04,do,11
Bert Grooteman,Heuristieken 2,h1,A1.04,wo,11
Bert Grooteman,Heuristieken 2,w1,C1.112,ma,9
Bert Grooteman,Technology for games,h1,A1.06,ma,9
Bert Grooteman,Technology for games,h2,A1.04,di,11
Bert Grooteman,Technology for games,w1,A1.08,ma,11
Yalda Grootenboer,Algoritmen en complexiteit,h1,A1.10,vr,9
Yalda Grootenboer,Algoritmen en complexiteit,w1,C1.112,do,9
Yalda Grootenboer,Algoritmen en complexiteit,p1,A1.08,do,13
Yalda Grootenboer,Compilerbouw,h1,A1.06,wo,13
Yalda Grootenboer,Compilerbouw,h2,A1.08,wo,11
Yalda Grootenboer,Compilerbouw,w1,A1.06,di,15
Yalda Grootenboer,Compilerbouw,p1,A1.06,vr,13
Yalda Grootenboer,Project Numerical Recipes,p1,C0.110,do,15
Yalda Grootenboer,Webprogrammeren en databases,h1,C0.110,di,13
Yalda Grootenboer,Webprogrammeren en databases,h2,C1.112,vr,11
Yalda Grootenboer,Webprogrammeren en databases,w1,B0.201,ma,11
Yalda Grootenboer,Webprogrammeren en databases,p1,A1.06,vr,9
Faruk Haalboom,Databases 2,h1,C0.110,ma,15
Faruk Haalboom,Databases 2,w1,A1.10,di,15
Jetty Haanstra,Calculus 2,h1,C0.110,do,13
Jetty Haanstra,Calculus 2,w1,C1.112,wo,13
Gabe Haarman,Technology for games,h1,A1.06,ma,9
Gabe Haarman,Technology for games,h2,A1.04,di,11
Gabe Haarman,Technology for games,w1,A1.08,ma,11
Eylem Haas,Databases 2,h1,C0.110,ma,15
Eylem Haas,Databases 2,w1,A1.10,di,11
Eylem Haas,Informatie- en organisatieontwerp,h2,A1.06,do,13
Eylem Haas,Informatie- en organisatieontwerp,w1,A1.06,wo,11
Eylem Haas,Informatie- en organisatieontwerp,p1,B0.201,ma,13
Eylem Haas,Informatie- en organisatieontwerp,h1,A1.10,di,13
Eylem Haas,Kansrekenen 2,h1,A1.08,do,11
Eylem Haas,Kansrekenen 2,h2,A1.04,vr,15
Eylem Haas,Moderne Databases,h1,A1.10,vr,13
Eylem Haas,Moderne Databases,w1,B0.201,ma,15
Eylem Haas,Moderne Databases,p1,A1.04,vr,11
Eylem Haas,Programmeren in Java 2,p1,A1.08,ma,15
Virgill Hamelink,Programmeren in Java 2,p1,A1.10,ma,9
Virgill Hamelink,Software engineering,h1,A1.04,ma,13
Virgill Hamelink,Software engineering,w1,A1.10,vr,15
Virgill Hamelink,Software engineering,p1,A1.04,do,11
Judi Hamers,Compilerbouw practicum,p1,C1.112,vr,15
Judi Hamers,Technology for games,h1,A1.06,ma,9
Judi Hamers,Technology for games,h2,A1.04,di,11
Judi Hamers,Technology for games,w1,A1.08,ma,11
Olle Hamhuis,Compilerbouw practicum,p1,C1.112,vr,9
Sahar Hamstra,Compilerbouw practicum,p1,A1.04,wo,13
Sahar Hamstra,Heuristieken 1,h1,B0.201,wo,15
Sahar Hamstra,Heuristieken 1,w1,A1.06,ma,11
Sahar Hamstra,Lineaire Algebra,h2,C1.112,di,9
Sahar Hamstra,Lineaire Algebra,h1,B0.201,do,15
Ervin Hartevelt,Reflectie op de digitale cultuur,h1,A1.08,di,13
Ervin Hartevelt,Reflectie op de digitale cultuur,h2,C0.110,di,11
Ervin Hartevelt,Reflectie op de digitale cultuur,w1,A1.10,do,13
Berdina Heijman,Kansrekenen 2,h1,A1.08,do,11
Berdina Heijman,Kansrekenen 2,h2,A1.04,vr,15
Berdina Heijman,Netwerken en systeembeveiliging,p1,B0.201,wo,11
Berdina Heijman,Project Genetic Algorithms,p1,A1.06,do,15
Guus Heijnen,Calculus 2,h1,C0.110,do,13
Guus Heijnen,Calculus 2,w1,C0.110,ma,13
Guus Heijnen,Project Numerical Recipes,p1,B0.201,wo,9
